regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
HPN77R,2020,Bensin,Halvkombi,259900,54000,4812.96,https://www.blocket.se/annons/1401765184
YMC730,2017,Diesel,Skåpbil,185000,120000,1541.67,https://www.blocket.se/annons/1401810035
CFS281,2015,Diesel,Kombi,120000,270000,444.44,https://www.blocket.se/annons/1401820508
RPF473,2018,Bensin,SUV,269000,220000,1222.73,https://www.blocket.se/annons/1401614746
FWD76Y,2021,Bensin,Halvkombi,219000,22000,9954.55,https://www.blocket.se/annons/1401794975
HTR332,2016,Diesel,Transportchassi,199000,155900,1276.46,https://www.blocket.se/annons/1401732174
EHO514,2017,Diesel,Kombi,150000,102500,1463.41,https://www.blocket.se/annons/1401788210
LXT317,2022,Bensin,Kombi,175000,56000,3125.0,https://www.blocket.se/annons/1401702623
NPP944,2015,Diesel,Kombi,110000,312800,351.66,https://www.blocket.se/annons/1401814347
PBS723,2017,Diesel,Kombi,240000,134800,1780.42,https://www.blocket.se/annons/1401757038
ONN100,2015,Bensin,Kombi,48000,234000,205.13,https://www.blocket.se/annons/1401820585
STL488,2019,Miljöbränsle/Hybrid,Sedan,265000,111000,2387.39,https://www.blocket.se/annons/1401822511
GWU856,2016,Diesel,Kombi,179000,245500,729.12,https://www.blocket.se/annons/1401668746
ZRE02M,2020,Bensin,SUV,289000,93420,3093.56,https://www.blocket.se/annons/1401816931
PSK099,2015,Diesel,Kombi,110000,284720,386.34,https://www.blocket.se/annons/1401809159
DXM382,2015,Bensin,Kombi,80000,85000,941.18,https://www.blocket.se/annons/1401795009
SJF060,2017,Diesel,Kombi,209000,175000,1194.29,https://www.blocket.se/annons/1401822517
OWY634,2016,Bensin,Coupé,209500,204240,1025.75,https://www.blocket.se/annons/1401759303
YTT368,2018,El,Skåpbil,132000,27380,4821.04,https://www.blocket.se/annons/1401812464
BXE569,2015,Bensin,Halvkombi,105000,182600,575.03,https://www.blocket.se/annons/1401697969
PKD294,2017,Diesel,Kombi,120000,173490,691.68,https://www.blocket.se/annons/1401821506
ZEF805,2018,Diesel,SUV,185000,150000,1233.33,https://www.blocket.se/annons/1401807625
ERE373,2015,Diesel,Halvkombi,149000,209280,711.96,https://www.blocket.se/annons/1401808254
HEG188,2018,Bensin,Halvkombi,160000,101350,1578.69,https://www.blocket.se/annons/1401782965
BZN734,2020,Bensin,Kombi,235000,73330,3204.69,https://www.blocket.se/annons/1401815690
CFF35W,2020,Bensin,Kombi,170000,68000,2500.0,https://www.blocket.se/annons/1401826137
RBB518,2017,Diesel,Skåpbil,97000,135000,718.52,https://www.blocket.se/annons/1401719618
DCP828,2016,Diesel,Cab,220000,201680,1090.84,https://www.blocket.se/annons/1401809549
FRJ554,2018,Diesel,Kombi,220000,80000,2750.0,https://www.blocket.se/annons/1401813204
NAP11M,2019,El,SUV,192000,106550,1801.97,https://www.blocket.se/annons/1401810093
ORN322,2021,El,Halvkombi,184900,180000,1027.22,https://www.blocket.se/annons/1401808036
TPT06Y,2019,Diesel,Pickup,239000,60280,3964.83,https://www.blocket.se/annons/1401818016
YRO880,2019,Bensin,SUV,172000,117000,1470.09,https://www.blocket.se/annons/1401808212
CPG810,2016,Diesel,Kombi,104000,180190,577.17,https://www.blocket.se/annons/1401815341
CCD026,2016,Bensin,Halvkombi,59500,167000,356.29,https://www.blocket.se/annons/1401824264
OXA501,2015,Diesel,Kombi,125000,155970,801.44,https://www.blocket.se/annons/1401767647
YJS71K,2021,El,Sedan,220000,193000,1139.9,https://www.blocket.se/annons/1401659669
UPD28C,2019,El,SUV,205000,87960,2330.6,https://www.blocket.se/annons/1401812138
YTO785,2019,Bensin,Halvkombi,189900,58840,3227.4,https://www.blocket.se/annons/1401810510
CLA953,2018,Bensin,Halvkombi,399000,128650,3101.44,https://www.blocket.se/annons/1401810365
NPL21G,2022,El,Kombi,219900,30100,7305.65,https://www.blocket.se/annons/1401826108
GNP222,2015,Diesel,Halvkombi,100000,132850,752.73,https://www.blocket.se/annons/1401825729
ODH828,2016,Diesel,Kombi,229000,79390,2884.49,https://www.blocket.se/annons/1401811908
MAN308,2016,Diesel,Halvkombi,129700,224860,576.8,https://www.blocket.se/annons/1401646596
DOP714,2017,Diesel,Kombi,194900,175510,1110.48,https://www.blocket.se/annons/1401816169
MOG410,2015,Diesel,Sedan,160000,245000,653.06,https://www.blocket.se/annons/1401818883
YDG360,2016,Diesel,Skåpbil,185000,160130,1155.31,https://www.blocket.se/annons/1401813172
ATY13G,2021,Bensin,Kombi,149000,56000,2660.71,https://www.blocket.se/annons/1401748781
TBR68B,2022,Miljöbränsle/Hybrid,Kombi,245000,41490,5905.04,https://www.blocket.se/annons/1401822660
MOJ02S,2022,Diesel,Skåpbil,799000,85980,9292.86,https://www.blocket.se/annons/1401816004
PHA64F,2021,El,SUV,460000,87030,5285.53,https://www.blocket.se/annons/1401748526
BHO435,2019,Bensin,SUV,234000,105840,2210.88,https://www.blocket.se/annons/1401825231
AUU743,2015,Diesel,Halvkombi,110000,185170,594.05,https://www.blocket.se/annons/1401826294
GFA719,2016,Miljöbränsle/Hybrid,Sedan,210000,117000,1794.87,https://www.blocket.se/annons/1401813984
HCJ258,2016,Diesel,SUV,199000,220890,900.9,https://www.blocket.se/annons/1401808208
YTM883,2019,Diesel,Skåpbil,74900,74920,999.73,https://www.blocket.se/annons/1401768049
YNE640,2017,Bensin,Halvkombi,79000,130490,605.41,https://www.blocket.se/annons/1401773418
ZAS089,2017,Miljöbränsle/Hybrid,SUV,210000,59450,3532.38,https://www.blocket.se/annons/1401815527
YLU017,2018,Diesel,Kombi,180000,166800,1079.14,https://www.blocket.se/annons/1401825440
YJT600,2017,Diesel,Halvkombi,100000,180000,555.56,https://www.blocket.se/annons/1401813980
PDR44G,2023,Miljöbränsle/Hybrid,Sedan,460000,45420,10127.7,https://www.blocket.se/annons/1401825832
HOJ77G,2020,Miljöbränsle/Hybrid,Kombi,219900,86020,2556.38,https://www.blocket.se/annons/1401807122
NBS207,2016,Diesel,Kombi,129999,310000,419.35,https://www.blocket.se/annons/1401654448
FDP78K,2021,Miljöbränsle/Hybrid,Kombi,489000,64450,7587.28,https://www.blocket.se/annons/1401807575
HTX589,2016,Bensin,Halvkombi,149000,90000,1655.56,https://www.blocket.se/annons/1401811120
ZDJ435,2018,Diesel,Skåpbil,329000,94800,3470.46,https://www.blocket.se/annons/1401816907
XJO421,2018,Diesel,Skåpbil,130000,106700,1218.37,https://www.blocket.se/annons/1401786712
YAY814,2016,Diesel,Kombi,78000,215000,362.79,https://www.blocket.se/annons/1401766334
DSK931,2017,Diesel,Skåpbil,225000,259740,866.25,https://www.blocket.se/annons/1401821486
RXO701,2017,Diesel,Kombi,139000,216180,642.98,https://www.blocket.se/annons/1401813725
JJZ250,2015,Diesel,Kombi,114900,252460,455.12,https://www.blocket.se/annons/1401814487
RCD665,2016,Diesel,SUV,269000,337600,796.8,https://www.blocket.se/annons/1401756717
